organic_formula,organic_concentration,organic_temperature,organic_soak_time,organic_ph,organic_curing_time,Adhesion,Coverage,Uniformity,Timestamp
23.0,3.6,35.0,280.0,8.5,55.0,0.60854244,0.50007105,0.38131103,2026-01-24-10:46:48
23.0,4.7,40.0,180.0,8.0,10.0,0.53372085,0.26317835,0.6354746,2026-01-24-10:46:58
27.0,4.8,40.0,280.0,9.5,10.0,0.45842263,0.36552784,0.59655905,2026-01-24-10:46:58
23.0,3.5,35.0,280.0,9.5,55.0,0.5896568,0.5341452,0.38953725,2026-01-24-10:46:58
30.0,4.7,40.0,180.0,9.0,10.0,0.44007277,0.28922182,0.57191116,2026-01-24-10:46:58
23.0,3.7,35.0,280.0,8.5,55.0,0.6114102,0.5032228,0.38954633,2026-01-24-10:46:58
23.0,4.7,40.0,180.0,9.0,10.0,0.52186275,0.2526076,0.6358561,2026-01-24-10:47:07
27.0,4.2,40.0,280.0,9.0,55.0,0.48819968,0.52420455,0.52797663,2026-01-24-10:47:07
27.0,4.2,40.0,180.0,8.0,20.0,0.48472452,0.2815002,0.59858817,2026-01-24-10:47:07
23.0,2.8,35.0,280.0,8.0,55.0,0.5596795,0.4619415,0.30126742,2026-01-24-10:47:07
23.0,3.4,35.0,280.0,10.0,55.0,0.5757362,0.54912215,0.38851333,2026-01-24-10:47:07
23.0,4.7,40.0,180.0,8.0,10.0,0.53372085,0.26317835,0.6354746,2026-01-24-10:47:16
27.0,4.5,40.0,130.0,9.5,10.0,0.44272566,0.2163814,0.603025,2026-01-24-10:47:16
29.0,4.8,40.0,180.0,5.5,10.0,0.4656766,0.34156474,0.5717785,2026-01-24-10:47:16
11.0,4.8,40.0,180.0,3.0,10.0,0.29860267,0.16588736,0.43597114,2026-01-24-10:47:16
27.0,4.1,40.0,180.0,9.0,15.0,0.47635922,0.27155104,0.599839,2026-01-24-10:47:16
23.0,4.7,40.0,180.0,10.0,10.0,0.5044656,0.25153202,0.6329895,2026-01-24-10:47:26
23.0,4.7,40.0,200.0,8.0,10.0,0.53716916,0.29274285,0.634921,2026-01-24-10:47:26
23.0,4.7,40.0,60.0,8.5,10.0,0.50800806,0.078726456,0.59300315,2026-01-24-10:47:26
23.0,4.8,25.0,280.0,10.0,55.0,0.5231712,0.59769505,0.307564,2026-01-24-10:47:26
20.0,4.8,40.0,180.0,10.0,10.0,0.55501264,0.21818605,0.6187012,2026-01-24-10:47:26
20.0,3.0,40.0,280.0,8.5,55.0,0.6664987,0.47683966,0.37495065,2026-01-24-10:47:35
20.0,4.1,40.0,200.0,7.5,10.0,0.5829836,0.25002915,0.55577105,2026-01-24-10:47:35
20.0,4.0,40.0,200.0,7.5,15.0,0.5901637,0.2450255,0.54198915,2026-01-24-10:47:35
23.0,4.7,40.0,200.0,10.0,10.0,0.5079138,0.28109652,0.6324359,2026-01-24-10:47:35
20.0,2.8,40.0,260.0,9.0,15.0,0.66590154,0.29372472,0.4130943,2026-01-24-10:47:35
20.0,3.2,40.0,280.0,9.5,55.0,0.6678021,0.51873034,0.39255026,2026-01-24-10:47:46
23.0,4.8,40.0,180.0,9.0,10.0,0.5180151,0.25573766,0.641418,2026-01-24-10:47:46
20.0,3.5,40.0,280.0,7.0,15.0,0.62276334,0.35316852,0.46780807,2026-01-24-10:47:46
26.0,4.8,40.0,200.0,10.5,10.0,0.4461392,0.30783367,0.6227933,2026-01-24-10:47:46
24.0,4.8,40.0,200.0,6.0,10.0,0.5282641,0.3363488,0.6284616,2026-01-24-10:47:46
20.0,3.0,40.0,280.0,7.5,20.0,0.65011007,0.33291987,0.41451177,2026-01-24-10:47:55
23.0,4.8,40.0,200.0,9.5,10.0,0.51323354,0.28360507,0.63981307,2026-01-24-10:47:55
20.0,4.0,40.0,200.0,7.0,10.0,0.5774855,0.25586873,0.5437933,2026-01-24-10:47:55
20.0,4.8,25.0,280.0,10.0,55.0,0.5775659,0.5905732,0.28771377,2026-01-24-10:47:55
23.0,4.0,35.0,280.0,10.0,55.0,0.5900614,0.5682836,0.43720555,2026-01-24-10:47:55
20.0,3.0,40.0,280.0,8.0,20.0,0.65981776,0.3290211,0.41601372,2026-01-24-10:48:06
26.0,4.5,40.0,200.0,11.0,10.0,0.45474717,0.30495828,0.6117745,2026-01-24-10:48:06
23.0,4.8,40.0,200.0,8.5,10.0,0.5282984,0.28984565,0.64110094,2026-01-24-10:48:06
20.0,3.6,40.0,280.0,9.5,15.0,0.65099573,0.33792597,0.48078564,2026-01-24-10:48:06
25.0,4.8,40.0,180.0,5.5,10.0,0.51852673,0.32367924,0.6196236,2026-01-24-10:48:06
23.0,4.8,40.0,200.0,8.0,10.0,0.5333215,0.29609445,0.6404829,2026-01-24-10:48:15
27.0,4.8,25.0,280.0,10.0,55.0,0.46077076,0.5829245,0.28394392,2026-01-24-10:48:15
20.0,3.0,40.0,280.0,10.5,20.0,0.6648316,0.35144624,0.41100964,2026-01-24-10:48:15
30.0,4.8,40.0,200.0,7.5,10.0,0.43485332,0.32430178,0.5694304,2026-01-24-10:48:15
28.0,4.5,40.0,200.0,6.5,10.0,0.47950244,0.33433604,0.5932882,2026-01-24-10:48:15
20.0,3.0,40.0,280.0,9.5,55.0,0.67098844,0.51394606,0.37366277,2026-01-24-10:48:25
26.0,4.1,40.0,200.0,10.0,10.0,0.48297837,0.28287697,0.6031401,2026-01-24-10:48:25
23.0,4.8,40.0,200.0,8.5,10.0,0.5282984,0.28984565,0.64110094,2026-01-24-10:48:25
20.0,3.0,40.0,280.0,7.0,15.0,0.6374318,0.34009117,0.41995284,2026-01-24-10:48:25
23.0,4.8,40.0,219.99998,10.0,10.0,0.5075145,0.31238663,0.6353786,2026-01-24-10:48:25
23.0,4.8,40.0,200.0,8.5,10.0,0.5282984,0.28984565,0.64110094,2026-01-24-10:48:36
26.0,4.7,40.0,219.99998,11.0,10.0,0.45013922,0.3321493,0.61465526,2026-01-24-10:48:36
23.0,4.8,40.0,140.0,8.5,10.0,0.5179536,0.19736129,0.6359219,2026-01-24-10:48:36
23.0,4.8,40.0,50.0,8.0,10.0,0.50745946,0.073867895,0.59143966,2026-01-24-10:48:36
23.0,4.8,40.0,10.0,9.5,10.0,0.48047492,0.021691695,0.56287885,2026-01-24-10:48:36
20.0,3.4,40.0,280.0,9.5,55.0,0.6609518,0.5241196,0.41180512,2026-01-24-10:48:46
23.0,4.8,40.0,200.0,9.5,10.0,0.51323354,0.28360507,0.63981307,2026-01-24-10:48:46
20.0,2.8,40.0,280.0,9.5,20.0,0.6701547,0.32936633,0.39698705,2026-01-24-10:48:46
24.0,4.8,40.0,219.99998,5.5,15.0,0.52801204,0.36749706,0.61521333,2026-01-24-10:48:46
20.0,3.7,40.0,219.99998,11.0,15.0,0.62223303,0.27946585,0.5023004,2026-01-24-10:48:46
23.0,4.8,40.0,200.0,9.0,10.0,0.5214634,0.2855237,0.6408644,2026-01-24-10:48:57
26.0,4.2,40.0,219.99998,9.5,10.0,0.48687446,0.30424038,0.60634214,2026-01-24-10:48:57
25.0,4.8,40.0,280.0,6.0,55.0,0.5354105,0.46738732,0.5472353,2026-01-24-10:48:57
26.0,4.8,25.0,219.99998,9.0,10.0,0.47291043,0.32603616,0.37628484,2026-01-24-10:48:57
20.0,3.0,40.0,280.0,7.5,20.0,0.65011007,0.33291987,0.41451177,2026-01-24-10:48:57
