organic_formula,organic_concentration,organic_temperature,organic_soak_time,organic_ph,organic_curing_time,Adhesion,Coverage,Uniformity,Timestamp
30.0,5.0,40.0,280.0,9.0,50.0,1.467458,3.9992218,1.8317438,2026-01-26-23:44:04
11.0,5.0,30.0,280.0,3.0,60.0,0.2633323,0.04255098,1.9067973,2026-01-26-23:44:04
25.0,3.5,40.0,280.0,6.0,50.0,1.782611,3.1630738,0.78806937,2026-01-26-23:44:04
11.0,2.5,25.0,40.0,2.0,50.0,0.045187533,0.4477502,0.58063924,2026-01-26-23:44:04
30.0,3.7,40.0,280.0,9.0,50.0,1.8427851,3.9605088,1.1893243,2026-01-26-23:44:04
15.999999,4.2,35.0,280.0,10.0,60.0,1.0631827,1.5734222,1.8228419,2026-01-26-23:45:05
30.0,5.0,40.0,290.0,9.0,60.0,1.7994087,3.9396057,2.0214283,2026-01-26-23:45:05
17.0,4.1,35.0,280.0,6.5,60.0,1.0973915,1.4819862,1.5788795,2026-01-26-23:45:05
15.999999,1.8,35.0,290.0,10.0,60.0,1.572906,1.605238,1.0918434,2026-01-26-23:45:05
27.0,4.8,40.0,280.0,10.0,60.0,1.7740675,3.6402647,1.8572612,2026-01-26-23:45:05
27.0,4.9,35.0,290.0,10.0,60.0,1.1399343,3.0216348,2.6017988,2026-01-26-23:46:12
27.0,4.8,30.0,290.0,10.0,60.0,0.7733013,2.5146487,3.0004249,2026-01-26-23:46:12
27.0,4.6,35.0,290.0,9.5,60.0,1.2366498,2.9907813,2.4124432,2026-01-26-23:46:12
27.0,4.7,30.0,290.0,9.5,60.0,0.8042588,2.4814417,2.9143672,2026-01-26-23:46:12
30.0,5.0,40.0,170.0,9.0,60.0,1.6380296,4.0548773,1.6785712,2026-01-26-23:46:12
27.0,4.1,25.0,290.0,10.0,60.0,0.79672676,2.104646,2.8972893,2026-01-26-23:47:17
27.0,1.8,40.0,290.0,10.0,60.0,2.4091177,3.467907,0.71801907,2026-01-26-23:47:17
27.0,3.5,25.0,280.0,10.0,60.0,0.93548495,2.0939677,2.6074975,2026-01-26-23:47:17
30.0,5.0,35.0,290.0,9.0,60.0,1.1782978,3.289606,2.6992064,2026-01-26-23:47:17
30.0,4.1,35.0,290.0,9.0,60.0,1.4531333,3.271051,2.2387106,2026-01-26-23:47:17
30.0,5.0,40.0,190.0,9.0,60.0,1.664926,4.035665,1.7357141,2026-01-26-23:48:28
30.0,2.2,40.0,290.0,9.0,60.0,2.4328783,3.760014,0.82142866,2026-01-26-23:48:28
30.0,5.0,40.0,200.0,9.0,60.0,1.6783743,4.0260596,1.7642856,2026-01-26-23:48:28
27.0,4.8,35.0,280.0,9.0,55.0,0.9971042,2.989112,2.3713293,2026-01-26-23:48:28
21.0,2.2,25.0,200.0,5.5,25.0,0.123301774,1.4394964,1.0452193,2026-01-26-23:48:28
30.0,4.6,35.0,290.0,9.0,60.0,1.3087767,3.2859411,2.4857953,2026-01-26-23:49:44
30.0,1.9,40.0,290.0,9.0,60.0,2.462016,3.7194686,0.73352766,2026-01-26-23:49:44
23.0,4.8,40.0,290.0,10.0,60.0,1.6655768,3.060987,1.7519777,2026-01-26-23:49:44
30.0,5.0,40.0,80.0,9.0,50.0,1.3391821,4.108581,1.3320394,2026-01-26-23:49:44
30.0,4.9,30.0,290.0,9.0,60.0,0.80216694,2.739377,3.1112084,2026-01-26-23:49:44
30.0,2.7,40.0,290.0,9.0,60.0,2.3676555,3.818427,0.98542285,2026-01-26-23:50:57
23.0,4.9,35.0,290.0,10.0,60.0,1.0323818,2.5028074,2.4443831,2026-01-26-23:50:57
13.0,5.0,40.0,290.0,6.0,60.0,1.2706326,1.2069647,1.2435457,2026-01-26-23:50:57
30.0,4.4,35.0,290.0,9.0,60.0,1.3690183,3.2813592,2.3843374,2026-01-26-23:50:57
23.0,4.7,30.0,290.0,10.0,60.0,0.7133027,2.0583637,2.7740488,2026-01-26-23:50:57
30.0,5.0,40.0,240.0,9.0,60.0,1.7321672,3.9876356,1.8785713,2026-01-26-23:52:07
27.0,4.9,40.0,280.0,8.0,50.0,1.4236267,3.560423,1.6205432,2026-01-26-23:52:07
30.0,5.0,40.0,250.00002,9.0,60.0,1.7456157,3.9780295,1.9071428,2026-01-26-23:52:07
30.0,5.0,40.0,300.0,9.0,60.0,1.8128569,3.9300003,2.05,2026-01-26-23:52:07
30.0,5.0,40.0,270.0,9.0,60.0,1.7725122,3.958818,1.9642856,2026-01-26-23:52:07
30.0,5.0,35.0,300.0,9.0,60.0,1.191746,3.2800002,2.7277777,2026-01-26-23:53:03
28.0,3.7,35.0,300.0,8.0,60.0,1.5208719,2.971479,1.9519626,2026-01-26-23:53:03
2.0,3.1,35.0,100.0,5.5,45.0,0.43823487,0.111922845,0.2840781,2026-01-26-23:53:03
28.0,2.5,35.0,70.0,6.5,45.0,1.0949421,3.0427334,0.7042073,2026-01-26-23:53:03
30.0,1.8,40.0,300.0,9.0,60.0,2.483511,3.6954308,0.73454815,2026-01-26-23:53:03
28.0,4.9,30.0,300.0,8.0,60.0,0.77044624,2.4689703,2.985906,2026-01-26-23:54:19
28.0,4.6,30.0,300.0,6.5,60.0,0.86626446,2.3651788,2.7246928,2026-01-26-23:54:19
30.0,5.0,30.0,300.0,9.0,60.0,0.781746,2.73,3.1944444,2026-01-26-23:54:19
30.0,2.5,40.0,300.0,9.0,60.0,2.4096918,3.7868304,0.9457725,2026-01-26-23:54:19
28.0,4.1,25.0,300.0,6.5,60.0,0.82042086,1.9356163,2.7270412,2026-01-26-23:54:19
30.0,5.0,40.0,180.0,9.0,45.0,1.2792413,4.0582166,1.5192659,2026-01-26-23:55:27
22.0,5.0,40.0,300.0,6.0,60.0,1.5698245,2.609663,1.5690253,2026-01-26-23:55:27
